Ionic,Uncorrected,,,,Corrected,,,,,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),,,,,,,
H,26976,0.002042362,1.24476374772769E-05,827.1034698,26148.89653,0.002651958,6.88271909760614E-05,,,,,,,
C,7553,0.00057184,6.58171381509291E-06,2674.277766,4878.722234,0.000494788,3.32957171098505E-05,,,,,,,
Mn,2209379,0.167272804,0.000121584,49723.76069,2159655.239,0.219027026,0.000615344,,,,,,,
Fe,2786668,0.210979542,0.00013908,413190.7642,2373477.236,0.240712338,0.000614872,,,,,,,
Co,2508253,0.189900651,0.000130797,345240.6403,2163012.36,0.219367497,0.000593862,,,,,,,
Cr,2509242,0.189975529,0.000130826,5387.601238,2503854.399,0.253934875,0.00066768,,,,,,,
Ni,2925505,0.221490936,0.00014312,2522353.258,403151.7424,0.040886678,0.001008767,,,,,,,
P,2547,0.000192834,3.82130283003977E-06,870.4369133,1676.563087,0.000170033,1.94097213911871E-05,,,,,,,
Si,39200,0.002967845,1.50121070431886E-05,4367.546376,34832.45362,0.003532623,8.1184245420612E-05,,,,,,,
H2,190893,0.014452571,3.33170077089205E-05,1776.962322,189116.0377,0.019179692,0.000184027,,,,,,,
O,560,4.23977823537099E-05,1.79167128760152E-06,335.8611903,224.1388097,2.27316175730681E-05,8.36430284631539E-06,,,,,,,
PC2,676,5.11801801269783E-05,1.96851883906307E-06,235.1059148,440.8940852,4.47144149134744E-05,9.98183000791465E-06,,,,,,,
Noise,786,5.95083159464571E-05,2.12265449060938E-06,1032.06654,-246.0665398,-2.50E-05,6.95230983163743E-06,,,,,,,
