Ionic,Uncorrected,,,,Corrected,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma)
H,43643,0.004396853,2.10929518651197E-05,134.6688886,43508.33111,0.004985621,0.000246149
C,2775,0.00027957,5.30786153304819E-06,297.3698096,2477.63019,0.000283912,6.04277701893816E-05
V,3204361,0.322826241,0.000207419,7083.541082,3197277.459,0.366376142,0.00209747
Ni,3279609,0.330407169,0.000210441,969104.7682,2310504.232,0.264760765,0.002464785
Co,3084522,0.310752953,0.000202573,220692.0702,2863829.93,0.328166378,0.001747332
H2,288199,0.029034868,5.48641521266392E-05,181.5390706,288017.4609,0.033003932,0.000632901
Si,18010,0.001814434,1.35324954716427E-05,1171.653297,16838.3467,0.001929507,0.000155556
P,271,2.730213958103E-05,1.65850950835709E-06,59.00189197,211.998108,2.42928710464742E-05,1.83265235232795E-05
O,585,5.89363529701202E-05,2.43679010402185E-06,73.80018502,511.199815,5.85784057207496E-05,2.76083575116137E-05
OH,3721,0.000374876,6.14665184407276E-06,181.2586085,3539.741392,0.000405619,7.10470451887347E-05
Noise,266,2.67984100684649E-05,1.64313796116252E-06,220.1595654,45.84043455,5.25285709207053E-06,1.47377915200124E-05
