,Uncorrected,,,,,,,Corrected,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Decomposed Count,Decomposed Fraction,Decomposed Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Decomposed Count,Decomposed Fraction,Decomposed Fraction (sigma)
Ni,3078451,0.5040130952168502,0.00035229096607556867,3078451,0.5039691991910826,0.0003522551434291162,84509.3129888773,2993941.6870111227,0.5081819330991025,0.0002134557203539929,2993941.6870111227,0.5081365811977354,0.00021344573676978
Mo,113978,0.018660814989949866,5.5787241994811315E-05,113978,0.01865918976309878,5.578233881593448E-05,37738.43987849355,76239.56012150645,0.012940655193538665,6.548603259959243E-05,76239.56012150645,0.012939500325016708,6.548024372228713E-05
Nb,319619,0.05232896722413787,9.495145671850563E-05,319619,0.05232440973601809,9.494298151579736E-05,13967.151009708643,305651.84899029136,0.05188035162777844,9.541489460858015E-05,305651.84899029136,0.05187572164698482,9.54066057720682E-05
Cr,1222756,0.20019322583174945,0.0001983376037750582,1222756,0.20017579039786287,0.0001983188894292178,38874.40195095539,1183881.5980490446,0.2009482154135165,0.00017058005690607516,1183881.5980490446,0.20093028210449518,0.00017056664071120144
Fe,1207997,0.1977768387356724,0.00019693842413163,1207997,0.1977596137522508,0.00019691985622093952,31418.690792948008,1176578.309207052,0.19970857889761295,0.0001694484965526398,1176578.309207052,0.19969075621801258,0.0001694351273066756
Al,68748,0.011255625725395018,4.316881075685066E-05,68748,0.011254645438887462,4.316503013290093E-05,272.98998361825943,68475.01001638174,0.011622725689705795,4.4350007163186826E-05,68475.01001638174,0.011621688437739983,4.43460698046857E-05
Si,15318,0.0025079082280444654,2.0288713586995862E-05,15318,0.0025076898067271504,2.0286944371520998E-05,912.7185817360878,14405.281418263912,0.0024451056577785442,2.1596730056335482E-05,14405.281418263912,0.002444887448150454,2.1594805059011433E-05
Ti,66442,0.010878080590660031,4.243071140691413E-05,66442,0.01087713318570083,4.24269961063341E-05,705.4459224247839,65736.55407757522,0.011157909077302531,4.3750075349262995E-05,65736.55407757522,0.011156913307167905,4.374619075853267E-05
H2,610,9.987100268358296E-05,4.043860619303285E-06,,,,81.44271862506866,528.5572813749313,8.971559538651795E-05,4.463042365170697E-06,,,
O,1362,0.00022299066500826227,6.042915832494223E-06,1362,0.00022297124407640547,6.042389478005233E-06,140.01418364048004,1221.98581635952,0.00020741590160936181,6.577519581187042E-06,1221.98581635952,0.00020739739110180717,6.5769326468679866E-06
H,1981,0.00032433517428881616,7.28823269214427E-06,3201,0.0005240315361883803,9.264635739725698E-06,168.10093486309052,1812.8990651369095,0.00030771559627621023,7.867398450977343E-06,2870.013627886772,0.0004871033123965704,1.0083871832258103E-05
P,1307,0.0002139859024712179,5.919620021286642E-06,1307,0.00021396726579138176,5.919104408519893E-06,202.02424269914627,1104.9757573008537,0.00018755499441051955,6.592870501167228E-06,1104.9757573008537,0.0001875382563585476,6.592282195728369E-06
B,912,0.00014931533515971746,4.944693938607075E-06,912,0.00014930233083530235,4.944263258104131E-06,195.48731788992882,716.5126821100712,0.00012161853434367373,5.64820933957883E-06,716.5126821100712,0.00012160768068789669,5.647705313003111E-06
Mn,8320,0.0013621749874219839,1.4943998989493856E-05,8320,0.0013620563514799512,1.4942696586231756E-05,7141.466029703617,1178.533970296383,0.0002000405264559687,2.1101721196416823E-05,1178.533970296383,0.00020002267415222794,2.1099838367021844E-05
noise,78,1.27703905070811E-05,1.4459712215427604E-06,,,,75.26520520448685,2.734794795513153,4.6419518183757993E-07,2.1013455248242275E-06,,,
