Ionic,Uncorrected,,,,Corrected,,,,,,,,,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),,,,,,,,,,,
Mn,6997942,0.197657912,8.17702693940464E-05,124552.7779,6873389.222,0.219207538,0.00089332,,,,,,,,,,,
Ni,7981596,0.225441366,8.83354455936576E-05,2331973.362,5649622.638,0.180178923,0.001106701,,,,,,,,,,,
H2,510975,0.014432565,2.03355200139475E-05,6009.400795,504965.5992,0.016104466,0.000248603,,,,,,,,,,,
Co,6228282,0.175918751,7.64392922142422E-05,536490.5435,5691791.457,0.18152378,0.000778452,,,,,,,,,,,
Cr,6534182,0.184558942,7.85810479919694E-05,14985.5003,6519196.5,0.207911551,0.000889097,,,,,,,,,,,
H,97449,0.002752461,8.82936411325167E-06,2797.130898,94651.8691,0.003018657,0.00010819,,,,,,,,,,,
O,1567,4.4260147987632E-05,1.1181188630093E-06,1105.70185,461.2981501,1.47118151380461E-05,1.11343768959251E-05,,,,,,,,,,,
Fe,6914582,0.195303397,8.12018469932629E-05,1002438.223,5912143.777,0.188551301,0.000802926,,,,,,,,,,,
Si,99307,0.002804941,8.91337193342474E-06,12990.30468,86316.69532,0.00275283,0.00010627,,,,,,,,,,,
C,21901,0.000618597,4.18128839354421E-06,7260.489367,14640.51063,0.000466918,4.72689141692247E-05,,,,,,,,,,,
P,10030,0.000283299,2.82914913007516E-06,2874.336383,7155.663617,0.00022821,3.23881323900632E-05,,,,,,,,,,,
PC2,3060,8.64301549726573E-05,1.56251194366094E-06,896.1741619,2163.825838,6.90091770725192E-05,1.78533668173547E-05,,,,,,,,,,,
Noise,3437,9.70785760264781E-05,1.65597856363754E-06,4311.631123,-874.6311226,-2.79E-05,1.26730281898484E-05,,,,,,,,,,,
