ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.05
Order (ions),1
Sample Count,60


d-pair (nm),Count,Randomized Count
0.025000000372529,270,322
0.0750000011175871,1606,1657
0.125000001862645,4127,4025
0.175000006332994,7697,7666
0.225000003352761,11993,11850
0.275000000372529,17669,16949
0.325000012293458,23266,22660
0.374999994412065,28291,28202
0.425000006332994,34149,33620
0.475000018253922,38410,37534
0.525000000372529,41756,40391
0.575000012293458,42262,42526
0.625000024214387,42167,42572
0.675000036135316,40611,40753
0.7249999884516,36641,37502
0.775000000372529,31759,33540
0.825000012293458,27567,28303
0.875000024214387,22130,23018
0.925000036135316,17415,17815
0.9749999884516,13372,13276
1.02500000037253,9345,9725
1.0750000718981,6589,6576
1.12500002421439,4328,4187
1.17499997653067,2927,2665
1.22500004805624,1828,1526
1.27500000037253,1104,936
1.3250000718981,679,535
1.37500002421439,415,286
1.42499997653067,242,140
1.47500004805624,153,95
1.52500000037253,95,57
1.5750000718981,42,28
1.62500002421439,31,17
1.67499997653067,12,10
1.72500004805624,13,5
1.77500000037253,7,2
1.8250000718981,4,1
1.87500002421439,0,2
1.92499997653067,1,1
1.97500004805624,1,0
2.02500000037253,0,0
2.07499995268881,1,0
2.12500014342368,0,0
2.17500009573996,0,0
2.22500004805624,0,0
2.27500000037253,0,0
2.32499995268881,0,0
2.37500014342368,0,0
2.42500009573996,0,0
2.47500004805624,0,0
2.52500000037253,0,0
2.57499995268881,0,0
2.62500014342368,0,0
2.67500009573996,0,0
2.72500004805624,0,0
2.77500000037253,0,0
2.82499995268881,0,0
2.87500014342368,0,0
2.92500009573996,0,0
2.97500004805624,0,0

