ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.05
Order (ions),5
Sample Count,60


d-pair (nm),Count,Randomized Count
0.025000000372529,0,0
0.0750000011175871,0,0
0.125000001862645,0,0
0.175000006332994,0,0
0.225000003352761,0,0
0.275000000372529,0,0
0.325000012293458,1,0
0.374999994412065,1,1
0.425000006332994,8,12
0.475000018253922,34,31
0.525000000372529,135,91
0.575000012293458,368,297
0.625000024214387,933,712
0.675000036135316,2181,1527
0.7249999884516,4149,3284
0.775000000372529,7641,6098
0.825000012293458,13228,10761
0.875000024214387,20018,17264
0.925000036135316,28091,25196
0.9749999884516,36371,34395
1.02500000037253,44099,43020
1.0750000718981,49191,50308
1.12500002421439,51682,54658
1.17499997653067,50788,54768
1.22500004805624,46298,50609
1.27500000037253,40419,43988
1.3250000718981,32793,35071
1.37500002421439,25252,26765
1.42499997653067,18515,19112
1.47500004805624,13018,12757
1.52500000037253,8989,8169
1.5750000718981,5947,4854
1.62500002421439,3789,2893
1.67499997653067,2517,1698
1.72500004805624,1538,1021
1.77500000037253,1023,649
1.8250000718981,655,379
1.87500002421439,420,248
1.92499997653067,304,159
1.97500004805624,224,71
2.02500000037253,119,56
2.07499995268881,83,23
2.12500014342368,63,16
2.17500009573996,38,6
2.22500004805624,25,3
2.27500000037253,9,2
2.32499995268881,8,3
2.37500014342368,5,0
2.42500009573996,3,0
2.47500004805624,1,0
2.52500000037253,0,0
2.57499995268881,0,0
2.62500014342368,1,0
2.67500009573996,0,0
2.72500004805624,0,0
2.77500000037253,0,0
2.82499995268881,0,0
2.87500014342368,0,0
2.92500009573996,0,0
2.97500004805624,0,0

