,Cylinder ID: 0,,,,,,,,,,,,,,,,,,,,
Distance (nm),Ion Count,Ni ion%,H2 ion%,Co ion%,Cr ion%,H ion%,O ion%,C ion%,Al ion%,Ti ion%,S ion%,Ni ion% Sigma,H2 ion% Sigma,Co ion% Sigma,Cr ion% Sigma,H ion% Sigma,O ion% Sigma,C ion% Sigma,Al ion% Sigma,Ti ion% Sigma,S ion% Sigma
0,2002,24.77522478,0,32.76723277,38.46153846,0,0,0,1.348651349,2.597402597,0.04995005,0.964844253,0,1.049006888,1.087313066,0,0,0,0.257791933,0.3554863,0.049937573
0.5,4143,25.15085687,0,33.30919623,36.10909969,0.048274197,0.024137099,0,2.244750181,3.113685735,0,0.674081398,0,0.732246974,0.746225984,0.034126772,0.024134186,0,0.230142373,0.269842989,0
1,4351,26.61457136,0,32.08457826,36.63525626,0.137899333,0.022983222,0,2.068490002,2.413238336,0.022983222,0.669992767,0,0.707681474,0.730430529,0.056258337,0.022980581,0,0.21577116,0.232648909,0.022980581
1.5,4478,27.02099151,0.022331398,33.27378294,34.83698079,0.089325592,0.022331398,0,2.166145601,2.568110764,0,0.66360183,0.022328904,0.704137213,0.711998058,0.044642844,0.022328904,0,0.217543624,0.236382539,0
2,4637,25.94349795,0,31.67996549,37.43799871,0.064697002,0.021565667,0,1.854647401,2.932930774,0.064697002,0.64369082,0,0.683199973,0.710711072,0.037340747,0.021563342,0,0.198128522,0.24778118,0.037340747
2.5,4474,27.53687975,0,31.82834153,36.03039785,0.089405454,0.022351363,0,2.14573089,2.324541797,0.022351363,0.667833022,0,0.696403499,0.717750269,0.044682739,0.022348865,0,0.21663545,0.225275218,0.022348865
3,4703,26.3023602,0,32.74505635,35.72187965,0.063789071,0,0,2.147565384,3.019349351,0,0.642002414,0,0.684301494,0.698732986,0.036816889,0,0,0.211383715,0.249523665,0
3.5,4611,26.6536543,0,32.87790067,35.54543483,0.108436348,0,0,2.081977879,2.710908697,0.02168727,0.65113353,0,0.691810651,0.704889751,0.048467909,0,0,0.210267335,0.23916188,0.021684918
4,4751,28.68869712,0.042096401,31.61439697,33.3613976,0.063144601,0.0210482,0,2.988844454,3.220374658,0,0.65620885,0.029760384,0.67457816,0.684057396,0.03644504,0.021045985,0,0.247041537,0.256125402,0
4.5,4623,32.29504651,0.043261951,29.09366212,30.19684188,0.021630976,0,0,4.001730478,4.326195111,0.021630976,0.687727249,0.030584201,0.668005098,0.675237187,0.021628636,0,0,0.288266167,0.299217939,0.021628636
