Ionic,Uncorrected,,,,Corrected,,,,,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),,,,,,,
Ni,302294,0.418385523,0.000906273,39767.33669,262526.6633,0.392976019,0.012733428,,,,,,,
H2,362,0.000501021,2.63396606045512E-05,12.25173643,349.7482636,0.000523538,0.000489632,,,,,,,
Co,174150,0.241029722,0.000643428,13248.20823,160901.7918,0.240853805,0.009257243,,,,,,,
Cr,148163,0.205062801,0.000584819,542.6332015,147620.3668,0.220972847,0.009885618,,,,,,,
H,1132,0.001566728,4.66026141770579E-05,4.892774135,1127.107226,0.001687166,0.000872396,,,,,,,
O,1839,0.002545241,5.94278441532496E-05,91.50038142,1747.499619,0.002615831,0.00109806,,,,,,,
C,1658,0.00229473,5.64205230439556E-05,91.15688137,1566.843119,0.002345407,0.001041292,,,,,,,
Al,38663,0.053510951,0.000279328,55.95633294,38607.04367,0.057790863,0.005097372,,,,,,,
Ti,52535,0.072710287,0.000328559,326.9823716,52208.01763,0.078150153,0.005906474,,,,,,,
S,1719,0.002379156,5.74514604707646E-05,325.9747434,1393.025257,0.002085219,0.001026073,,,,,,,
Noise,10,1.38403515449292E-05,4.37673373739305E-06,10.5659257,-0.565925695,-8.47E-07,5.65261885323827E-05,,,,,,,
