,Cylinder ID: 0_both L12 and DO22
Distance (nm),Ion Count,Ni ion%,Mo ion%,Nb ion%,Cr ion%,Fe ion%,Al ion%,Si ion%,Ti ion%,H2 ion%,O ion%,O2 ion%,H ion%,Ni ion% Sigma,Mo ion% Sigma,Nb ion% Sigma,Cr ion% Sigma,Fe ion% Sigma,Al ion% Sigma,Si ion% Sigma,Ti ion% Sigma,H2 ion% Sigma,O ion% Sigma,O2 ion% Sigma,H ion% Sigma
0,273,45.42124542124542,2.564102564102564,4.029304029304029,19.78021978021978,25.64102564102564,0.7326007326007326,0.3663003663003663,0,0.3663003663003663,0,1.098901098901099,0,3.0134223583081425,0.9566341224015203,1.1901536084099085,2.4108765170513244,2.6427316649008668,0.5161259231968944,0.3656288710220419,0,0.3656288710220419,0,0.6309552217178183,0
0.1,284,43.309859154929576,1.4084507042253522,2.8169014084507045,27.11267605633803,24.647887323943664,0,0,0,0.35211267605633806,0,0.35211267605633806,0,2.940275219149046,0.6992484321370588,0.9817977318511664,2.6378677920572153,2.5572806742108023,0,0,0,0.35149221270897335,0,0.35149221270897335,0
0.2,288,42.01388888888889,2.7777777777777777,3.4722222222222223,22.916666666666664,27.77777777777778,0,0.6944444444444444,0,0,0,0.3472222222222222,0,2.9084539309529474,0.968356512192217,1.0787819376335213,2.4766219822373445,2.639294965507264,0,0.48933838325485424,0,0,0,0.34661888167566374,0
0.30000000000000004,280,46.785714285714285,1.7857142857142856,2.5,25,22.5,0,0.35714285714285715,0.35714285714285715,0,0,0.7142857142857143,0,2.9818907995640584,0.7914332682392129,0.9330250341152236,2.587745847533828,2.495531721182596,0,0.3565045315975137,0.3565045315975137,0,0,0.5032691957411304,0
0.4,295,47.79661016949153,1.0169491525423728,1.694915254237288,22.372881355932204,25.76271186440678,0,0.3389830508474576,0,0,0,0.3389830508474576,0.6779661016949152,2.908284527412886,0.5841428014269434,0.751538056153101,2.4263680854709304,2.546219440016793,0,0.33840801557193545,0,0,0,0.33840801557193545,0.47776659834027857
0.5,292,46.57534246575342,2.3972602739726026,2.73972602739726,25.34246575342466,22.26027397260274,0,0,0.3424657534246575,0,0,0.3424657534246575,0,2.9191571550360873,0.8951527966610963,0.955278242537844,2.5454808228404526,2.4344190046403065,0,0,0.3418788365350183,0,0,0.3418788365350183,0
0.6000000000000001,275,43.63636363636363,2.5454545454545454,4.363636363636364,23.636363636363637,24.727272727272727,0.7272727272727273,0.36363636363636365,0,0,0,0,0,2.990593818948401,0.9497676571427721,1.2318829844806862,2.5619301514046366,2.6016003859151753,0.5123860302809272,0.362974604464418,0,0,0,0,0
0.7000000000000001,279,45.878136200716845,0.7168458781362007,2.1505376344086025,26.16487455197133,24.014336917562723,0,0.35842293906810035,0,0,0,0.7168458781362007,0,2.9832328563726085,0.5050665160801118,0.8684616468129921,2.6314112999806247,2.5574021556144473,0,0.35778002744903614,0,0,0,0.5050665160801118,0
0.8,309,45.307443365695796,1.9417475728155338,2.5889967637540456,22.006472491909385,27.508090614886733,0,0.6472491909385114,0,0,0,0,0,2.8318461234283556,0.7849811360564409,0.9034217086172392,2.3568137242723197,2.540362849125368,0,0.4561907409889144,0,0,0,0,0
0.9,297,50.505050505050505,2.356902356902357,2.356902356902357,19.865319865319865,23.56902356902357,0.33670033670033667,0,0.6734006734006733,0,0,0,0.33670033670033667,2.9011462520381452,0.8802648189124849,0.8802648189124849,2.315153603110385,2.4627893939611036,0.33613302317738564,0,0.47456022127147907,0,0,0,0.33613302317738564
1,301,45.182724252491695,3.322259136212625,3.9867109634551494,18.6046511627907,27.242524916943523,0.6644518272425249,0.33222591362126247,0,0,0,0.6644518272425249,0,2.868545103568046,1.032991507545686,1.1276901862998607,2.2429898705600566,2.5661334642400364,0.4682748663731937,0.3316735842058414,0,0,0,0.4682748663731937,0
1.1,269,42.37918215613383,1.858736059479554,5.204460966542751,24.907063197026023,25.650557620817843,0,0,0,0,0,0,0,3.0129356402777345,0.8234904093607238,1.3542713410034293,2.6368453909208722,2.6626318532532225,0,0,0,0,0,0,0
1.2000000000000002,306,45.09803921568628,1.3071895424836601,2.6143790849673203,21.568627450980394,28.104575163398692,0.6535947712418301,0,0,0,0,0.6535947712418301,0,2.8445399943243235,0.6493088576646624,0.9121599205061769,2.351231811060462,2.5696763429020395,0.46064848790494495,0,0,0,0,0.46064848790494495,0
1.3,289,45.674740484429066,1.384083044982699,4.1522491349480966,22.491349480968857,23.52941176470588,0.34602076124567477,0,0.6920415224913495,0,0.34602076124567477,1.384083044982699,0,2.9301511765402988,0.6872356204410394,1.1735017549684164,2.456031447832014,2.495191194092726,0.34542159064679706,0,0.4876510706578847,0,0.34542159064679706,0.6872356204410394,0
1.4000000000000001,276,45.289855072463766,3.6231884057971016,2.898550724637681,21.73913043478261,25,0,0.36231884057971014,0.36231884057971014,0,0,0.7246376811594203,0,2.9962624875106965,1.1248048886456006,1.0098311599450216,2.482783655305047,2.6064301757134345,0,0.3616618702466895,0.3616618702466895,0,0,0.5105363347336626,0
