,Uncorrected,,,,,,,Corrected,,,,,
Ion Type,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Decomposed Count,Decomposed Fraction,Decomposed Fraction (sigma),Background Count,Ion Count,Ionic Fraction,Ionic Fraction (sigma),Decomposed Count,Decomposed Fraction,Decomposed Fraction (sigma)
Ni,1152068,0.5010389856646942,0.000571911,1152068,0.5009688304459751,0.000571818,35239.77092,1116828.2290815264,0.5049733143797476,0.000349323,1116828.2290815264,0.5049011428328644,0.000349297
Mo,43455,0.018898753478144768,9.151215831361948E-05,43455,0.018896107284491755,9.14992260116331E-05,12237.342959754169,31217.65704024583,0.014115047714855396,0.000105648,31217.65704024583,0.01411303,0.000105633
Nb,121210,0.052714714,0.000155352,121210,0.052707333,0.00015533,11479.49831135571,109730.50168864429,0.04961459,0.000160114,109730.50168864429,0.049607499401929725,0.000160092
Cr,464239,0.20189939974549417,0.000324862,464239,0.2018711298963334,0.000324812,18259.37053769827,445979.62946230173,0.20164946208481846,0.000280541,445979.62946230173,0.20162064203989255,0.000280506
Fe,454568,0.19769344312629875,0.000320897,454568,0.19766576219300078,0.000320848,8729.490352287889,445838.5096477121,0.20158565483259977,0.000276334,445838.5096477121,0.20155684390710246,0.000276299
Al,29287,0.012737033554583497,7.489954768910491E-05,29287,0.01273525,7.488899435335824E-05,177.55920338630676,29109.440796613693,0.013161818815142091,7.713418937626002E-05,29109.440796613693,0.013159937708167455,7.712323075028746E-05
Si,5950,0.002587679,3.359023715907408E-05,5950,0.002587316,3.3585527802758006E-05,397.1030094027519,5552.896990597248,0.00251074,3.597439194491154E-05,5552.896990597248,0.002510381,3.5969257023048604E-05
Ti,25513,0.011095705844848867,6.985062609548666E-05,25513,0.011094152,6.984079198953096E-05,775.6729732453823,24737.327026754618,0.011184969803162196,7.290582995018919E-05,24737.327026754618,0.011183371,7.28954657915998E-05
D,365,0.00015874,8.309488768483309E-06,,,,52.972288727760315,312.0277112722397,0.000141083,9.243132946761953E-06,,,
O,538,0.000233978,1.0088703192151617E-05,538,0.000233946,1.0087290411968106E-05,60.79408797621727,477.20591202378273,0.000215768,1.1062859192586274E-05,477.20591202378273,0.000215738,1.106127826079669E-05
H,1592,0.000692367,1.735862139702525E-05,2322,0.001009706,2.096441960940011E-05,109.33686226606369,1482.6631377339363,0.000670385,1.864330586811258E-05,2106.7185602784157,0.000952416,2.2760189834902083E-05
P,530,0.000230499,1.0013395894728955E-05,530,0.000230467,1.0011993662704864E-05,134.05963137745857,395.9403686225414,0.000179024,1.1650185668564575E-05,395.9403686225414,0.000178999,1.1648520804917473E-05
Noise,43,1.87008721564889E-05,2.851882933812439E-06,,,,47.11095345020294,-4.11095345,-1.86E-06,4.29211811725932E-06,,,
