ROI,Top Level ROI
Ion(s),H2
Maximum d-pair (nm),3
Sample Width d-pair (nm),0.1
Order (ions),5
Sample Count,30


d-pair (nm),Count,Randomized Count
0.0500000007450581,0,0
0.150000002235174,0,0
0.25000000372529,0,0
0.350000012665987,0,0
0.450000006705523,0,0
0.550000000745058,0,1
0.650000024586916,3,4
0.749999988824129,26,21
0.850000012665987,100,71
0.950000036507845,304,261
1.05000000074506,789,767
1.15000002458692,1657,1577
1.25000004842877,2821,2747
1.35000007227063,4106,4131
1.4499999769032,5247,5323
1.55000000074506,5794,5993
1.65000002458692,5643,5635
1.75000004842877,4627,4631
1.85000007227063,3280,3282
1.9499999769032,2082,2063
2.05000000074506,1210,1203
2.15000014379621,599,622
2.25000004842877,306,300
2.34999995306134,160,149
2.45000009611249,71,56
2.55000000074506,33,27
2.65000014379621,22,23
2.75000004842877,11,11
2.84999995306134,6,2
2.95000009611249,5,6

